Course Name,Duration,Size
15. Cellphone and Repair Service TA-M-6H-7P\Chapter 4 - Final,0 hours 12 minutes and 49 seconds,117.28 GB and 120095.18 MB
15. Cellphone and Repair Service TA-M-6H-7P\Chapter 5 - Finals,0 hours 32 minutes and 25 seconds,117.28 GB and 120095.18 MB
15. Cellphone and Repair Service TA-M-6H-7P\Chapter 6 - Finals,0 hours 33 minutes and 24 seconds,117.28 GB and 120095.18 MB
15. Cellphone and Repair Service TA-M-6H-7P\Chapter 7 - Final,0 hours 5 minutes and 30 seconds,117.28 GB and 120095.18 MB
15. Cellphone and Repair Service TA-M-6H-7P\Chapter 8 -Final,0 hours 20 minutes and 53 seconds,117.28 GB and 120095.18 MB
15. Cellphone and Repair Service TA-M-6H-7P\Chapter 9 - Final outs,0 hours 38 minutes and 10 seconds,117.28 GB and 120095.18 MB
2. Comercial Floriculture EN-M-2H-7P,0 hours 0 minutes and 0 seconds,117.28 GB and 120095.18 MB
2. Comercial Floriculture EN-M-2H-7P\Chapter 1 - Introduction to Floriculture,0 hours 7 minutes and 35 seconds,117.28 GB and 120095.18 MB
2. Comercial Floriculture EN-M-2H-7P\Chapter 2 - Cultivation of foliage and ornamental plants,0 hours 35 minutes and 23 seconds,117.28 GB and 120095.18 MB
"2. Comercial Floriculture EN-M-2H-7P\Chapter 3 - Cultivation of various flower, foliage, ornamental plants under protected, open conditions",0 hours 39 minutes and 38 seconds,117.28 GB and 120095.18 MB
2. Comercial Floriculture EN-M-2H-7P\Chapter 4 - Management of floriculture plants,0 hours 24 minutes and 38 seconds,117.28 GB and 120095.18 MB
"2. Comercial Floriculture EN-M-2H-7P\Chapter 5 - Handling, storage and Value addition of cut flowers and loose flowers",0 hours 13 minutes and 17 seconds,117.28 GB and 120095.18 MB
3. Computer Hardware and Networking TA-M-9H-7P,8 hours 55 minutes and 0 seconds,117.28 GB and 120095.18 MB
4. Costume Jewellery HI-F-3H-1P,2 hours 49 minutes and 32 seconds,117.28 GB and 120095.18 MB
5. Electric Motor Rewinding & Repair Services EN-F-2H-7P,1 hours 47 minutes and 44 seconds,117.28 GB and 120095.18 MB
6. Fast Food Stall (LOOK INSIDE),0 hours 0 minutes and 0 seconds,117.28 GB and 120095.18 MB
6. Fast Food Stall (LOOK INSIDE)\Fast Food Stall HI-F-2H-7P,2 hours 49 minutes and 7 seconds,117.28 GB and 120095.18 MB
6. Fast Food Stall (LOOK INSIDE)\Fast Food Stall TA-F-2H-7P,0 hours 0 minutes and 0 seconds,117.28 GB and 120095.18 MB
6. Fast Food Stall (LOOK INSIDE)\Fast Food Stall TA-F-2H-7P\CH 1 Introduction to Preparations of Masala Items,0 hours 53 minutes and 1 seconds,117.28 GB and 120095.18 MB
6. Fast Food Stall (LOOK INSIDE)\Fast Food Stall TA-F-2H-7P\CH 2 Introduction to Preparations of Different Types of Fried Items,0 hours 38 minutes and 41 seconds,117.28 GB and 120095.18 MB
6. Fast Food Stall (LOOK INSIDE)\Fast Food Stall TA-F-2H-7P\CH 3 Introduction to Preparations of Different Types of Common Items,0 hours 21 minutes and 27 seconds,117.28 GB and 120095.18 MB
6. Fast Food Stall (LOOK INSIDE)\Fast Food Stall TA-F-2H-7P\CH 4 Introduction to Preparations of Snacks and Junk Items,0 hours 48 minutes and 9 seconds,117.28 GB and 120095.18 MB
6. Fast Food Stall (LOOK INSIDE)\Fast Food Stall TA-F-2H-7P\CH 5 Introduction to Preparations of Different Chinese Items,0 hours 26 minutes and 18 seconds,117.28 GB and 120095.18 MB
6. Fast Food Stall (LOOK INSIDE)\Fast Food Stall TA-F-2H-7P\CH 6 Introduction  to Exposure to No - Veg Dishes and Detailing,0 hours 17 minutes and 22 seconds,117.28 GB and 120095.18 MB
6. Fast Food Stall (LOOK INSIDE)\Fast Food Stall TA-F-2H-7P\CH 7 Safety Measures Needed for Hygienic Preparation of Items,0 hours 4 minutes and 27 seconds,117.28 GB and 120095.18 MB
6. Fast Food Stall (LOOK INSIDE)\Fast Food Stall TA-F-2H-7P\CH 8 FSSAI - Its Role and Registration  Licensing Formalities and Information On E-Marketing,0 hours 1 minutes and 38 seconds,117.28 GB and 120095.18 MB
"7. Papad, Pickle, Masala Powder (LOOK INSIDE)",0 hours 0 minutes and 0 seconds,117.28 GB and 120095.18 MB
"7. Papad, Pickle, Masala Powder (LOOK INSIDE)\Papad Pickel Masala Powder HI-F-2H-7P",0 hours 0 minutes and 0 seconds,117.28 GB and 120095.18 MB
"7. Papad, Pickle, Masala Powder (LOOK INSIDE)\Papad Pickel Masala Powder HI-F-2H-7P\MASALA LOW",0 hours 29 minutes and 7 seconds,117.28 GB and 120095.18 MB
"7. Papad, Pickle, Masala Powder (LOOK INSIDE)\Papad Pickel Masala Powder HI-F-2H-7P\PAPAD LOW",0 hours 46 minutes and 32 seconds,117.28 GB and 120095.18 MB
"7. Papad, Pickle, Masala Powder (LOOK INSIDE)\Papad Pickel Masala Powder HI-F-2H-7P\PICKLE LOW",0 hours 51 minutes and 10 seconds,117.28 GB and 120095.18 MB
"7. Papad, Pickle, Masala Powder (LOOK INSIDE)\Papad Pickle Masala Powder TA-M-2H-7P",0 hours 0 minutes and 0 seconds,117.28 GB and 120095.18 MB
"7. Papad, Pickle, Masala Powder (LOOK INSIDE)\Papad Pickle Masala Powder TA-M-2H-7P\Chapter-1 Papad",0 hours 28 minutes and 24 seconds,117.28 GB and 120095.18 MB
"7. Papad, Pickle, Masala Powder (LOOK INSIDE)\Papad Pickle Masala Powder TA-M-2H-7P\Chapter-2 Pickle",1 hours 14 minutes and 34 seconds,117.28 GB and 120095.18 MB
"7. Papad, Pickle, Masala Powder (LOOK INSIDE)\Papad Pickle Masala Powder TA-M-2H-7P\Chapter-3 Masala Powder",0 hours 44 minutes and 49 seconds,117.28 GB and 120095.18 MB
